EnsemblGeneID	Cellline1_CON	Cellline1_DEX	Cellline2_CON	Cellline2_DEX	Cellline3_CON	Cellline3_DEX
ENSG00000007908	0	0	0	0	0	0
ENSG00000007923	3205	2602	2925	3227	2846	2694
ENSG00000007933	0	0	0	0	0	0
ENSG00000007944	114	114	307	228	234	177
ENSG00000007952	40	28	19	21	11	14
ENSG00000007968	258	328	6	4	24	22
ENSG00000008018	8288	6930	7582	7772	7526	6731
ENSG00000008056	116	72	21	22	13	16
ENSG00000008083	1885	1229	2525	1979	2161	1561
ENSG00000008086	496	417	580	626	476	412
ENSG00000008118	14	8	4	1	11	3
ENSG00000008128	82	79	82	54	72	65
ENSG00000008130	6354	5591	4571	4794	4271	3954
ENSG00000008196	3	3	5	2	75	50
ENSG00000008197	0	0	0	0	0	0
ENSG00000008226	13	9	6	15	12	8
ENSG00000008256	3643	4151	3096	3933	3414	3849
ENSG00000008277	209	132	154	117	81	52
ENSG00000008282	6227	6163	6074	6509	5383	4772
ENSG00000008283	1178	1071	1293	1387	1185	1280
ENSG00000008294	10989	10793	10447	11032	8885	7481
ENSG00000008300	2731	2482	1091	1061	1073	986
ENSG00000008311	878	707	677	657	576	475
ENSG00000008323	25	34	20	21	25	37
ENSG00000008324	716	605	696	605	522	428
ENSG00000008382	349	236	298	299	258	231
ENSG00000008394	3314	3780	2635	2935	1312	1566
ENSG00000008405	1765	1517	1368	1094	1564	1110
ENSG00000008438	5	4	10	2	6	1
ENSG00000008441	4316	3210	3600	3600	3557	3373
ENSG00000008513	7246	5648	4566	5486	3599	3968
ENSG00000008516	49	51	108	117	65	72
ENSG00000008517	22319	14964	71496	64763	37759	28445
ENSG00000008710	4512	3719	2821	3115	5322	5274
ENSG00000008735	306	338	57	74	286	381
ENSG00000008838	3985	3336	3144	3306	3056	3019
ENSG00000008853	1412	1134	848	826	976	798
ENSG00000008869	2267	2029	2443	2424	2539	2146
ENSG00000008952	6669	5548	7708	8323	8491	7411
ENSG00000008988	25504	18952	23946	21015	22549	18013
ENSG00000009307	30961	24985	37930	35820	39647	32809
ENSG00000009335	8921	8429	6999	7905	8645	7687
ENSG00000009413	3386	3320	2030	1944	1890	1649
ENSG00000009694	60	62	186	294	67	131
ENSG00000009709	0	1	0	0	0	0
ENSG00000009724	143	105	134	105	97	75
ENSG00000009765	3	2	3	3	1	0
ENSG00000009780	504	488	332	311	345	303
ENSG00000009790	5	5	6	4	5	7
ENSG00000009830	2764	2097	2600	2640	2793	2281
ENSG00000009844	3844	3309	4132	4082	3871	2980
ENSG00000009950	28	20	1	2	2	4
ENSG00000009954	11685	10318	5484	5520	7183	5995
ENSG00000010017	3130	2952	2129	2297	2419	2112
ENSG00000010030	641	570	287	210	213	138
ENSG00000010072	941	801	909	847	828	669
ENSG00000010165	4443	3404	3531	3242	3241	2462
ENSG00000010219	372	381	511	532	409	395
ENSG00000010244	9477	7824	8905	9116	6977	5925
ENSG00000010256	11084	9471	8235	8554	9107	8773
ENSG00000010270	3801	3341	3493	3874	3328	2904
ENSG00000010278	6935	9975	630	1089	6749	8546
ENSG00000010282	13	11	0	0	1	0
ENSG00000010292	7466	7796	3451	3091	3384	2816
ENSG00000010295	2736	2126	1595	1366	1413	1204
ENSG00000010310	171	84	119	99	161	137
ENSG00000010318	263	219	198	161	154	134
ENSG00000010319	9	9	2	2	17	11
ENSG00000010322	10387	7112	8230	7578	8609	7325
ENSG00000010327	5	5	0	2	2	1
ENSG00000010361	372	364	178	127	255	209
ENSG00000010379	145	42	107	66	101	50
ENSG00000010404	3734	2245	4900	4385	6882	5171
ENSG00000010438	6	4	2	2	27	21
ENSG00000010539	635	611	517	485	520	436
ENSG00000010610	34	28	13	16	16	28
ENSG00000010626	284	179	434	447	529	437
ENSG00000010671	1	2	0	1	0	1
ENSG00000010704	731	606	960	1009	911	889
ENSG00000010803	2461	1897	1769	1721	1813	1679
ENSG00000010810	3553	2521	3003	2768	3400	2789
ENSG00000010818	4809	3481	3048	3508	3704	3281
ENSG00000010932	12	10	604	238	0	0
ENSG00000011007	2964	2398	2594	2841	2541	2301
ENSG00000011009	3285	2284	4710	4623	3340	2861
ENSG00000011021	1163	966	1209	1253	1070	1034
ENSG00000011028	35510	26957	17907	17904	21361	20996
ENSG00000011052	0	0	0	0	0	0
ENSG00000011083	10	10	3	1	7	2
