ID	Hexagon_index	Cluster_base
Agxt	659	11
2310007B03Rik	660	10
Sned1	413	7
Mterfd2	651	7
Pask	651	7
Ppp1r7	486	7
Tmem16g	347	11
Hdlbp	563	9
Sept2	412	9
Farp2	411	9
Stk25	180	8
Bok	485	7
Thap4	650	7
Atg4b	411	9
Dtymk	225	14
Ing5	69	12
D2hgdh	23	12
Gal3st2	10	12
Neu4	462	22
Pdcd1	462	22
St8sia4	605	4
Slco4c1	604	4
Slco6b1	605	4
Slco6c1	691	4
D1Ertd622e	524	6
Hisppd1	608	6
Pam	375	6
C230078M14Rik	522	4
Cdh20	690	4
Rnf152	606	6
Pign	202	5
2310035C23Rik	311	5
Tnfrsf11a	113	39
Bcl2	308	2
Fvt1	373	2
Vps4b	374	6
Serpinb5	374	6
Serpinb12	374	6
Serpinb13	375	6
Serpinb3a	375	6
Serpinb3d	444	4
Serpinb3b	444	4
Serpinb3c	445	4
Serpinb11	444	4
Serpinb7	375	6
Serpinb2	375	6
Serpinb10	375	6
Serpinb8	376	6
Cdh7	691	4
Cdh19	447	6
Tsn	333	13
Mki67ip	43	12
Clasp1	333	13
Tcfcp2l1	274	13
Gli2	399	15
Inhbb	41	12
Ralb	134	8
Epb4.1l5	224	14
Ptpn4	622	24
Sctr	26	12
Tmem37	144	12
Dbi	46	12
3110009E18Rik	46	12
Steap3	539	24
C1ql2	83	33
Marco	610	5
En1	699	31
Insig2	516	3
Ccdc93	516	3
Htr5b	373	2
Ddx18	310	2
Dpp10	522	4
Actr3	201	2
Slc35f5	113	39
Lypd1	444	4
E030049G20Rik	444	4
Mgat5	699	31
Acmsd	134	8
Ccnt2	283	8
Rab3gap1	412	9
Zranb3	68	12
R3hdm1	396	17
Ubxd2	64	12
Lct	95	14
Mcm6	132	14
Dars	132	14
Cxcr4	435	37
Daf2	444	4
Cd55	445	4
Zp3r	375	6
C4bp	374	6
Pfkfb2	253	5
AA986860	201	2
Fcamr	115	32
Pigr	81	32
Faim3	32	32
Il24	16	32
Il20	6	34
Il19	6	34
Il10	69	12
Mapkapk2	137	8
Dyrk3	233	10
Lgtn	494	10
Rassf5	421	10
Ikbke	343	8
Srgap2	343	8
2700049P18Rik	280	8
Avpr1b	343	8
Ctse	342	8
5430435G22Rik	409	8
Slc26a9	342	8
4732466D17Rik	344	8
Slc41a1	485	7
Rab7l1	652	7
Nucks1	568	7
Slc45a3	488	7
Elk4	651	7
Pctk3	287	10
Lemd1	418	11
Klhdc8a	567	7
Nuak2	488	7
Tmcc2	488	7
Ripk5	651	7
Rbbp5	651	7
Tmem81	485	7
Cntn2	485	7
Nfasc	228	8
Lrrn2	561	9
Mdm4	483	9
Ppp1r15b	649	9
Plekha6	650	7
Golt1a	564	7
Kiss1	649	9
Ren2	563	9
Ren1	563	9
Etnk2	648	9
Sox13	647	9
Snrpe	651	7
Zc3h11a	651	7
Atp2b4	494	10
Optc	659	11
Prelp	659	11
Fmod	652	7
Btg2	487	7
Chit1	487	7
Chi3l1	651	7
Mybph	651	7
Adora1	651	7
Myog	651	7
4933406M09Rik	289	10
Cyb5r1	656	11
Adipor1	655	11
Klhl12	653	7
Rabif	418	11
Jarid1b	416	11
Syt2	348	10
Ppp1r12b	139	10
Ube2t	283	8
Lgr6	344	8
Ptprv	137	8
Ptpn7	183	10
Arl8a	183	10
Gpr37l1	233	10
Elf3	572	11
Rnpep	572	11
