ID	Hexagon_index
ENSG00000109929	18
ENSG00000110031	29
ENSG00000110046	54
ENSG00000110080	18
ENSG00000110104	10
ENSG00000110108	17
ENSG00000110400	32
ENSG00000110492	47
ENSG00000110693	46
ENSG00000110713	58
ENSG00000110900	49
ENSG00000110921	59
ENSG00000110931	7
ENSG00000110944	50
ENSG00000111052	59
ENSG00000111057	42
ENSG00000111077	41
ENSG00000111110	52
ENSG00000111237	18
ENSG00000111275	37
ENSG00000111321	41
ENSG00000111348	41
ENSG00000111371	34
ENSG00000111424	49
ENSG00000111450	18
ENSG00000111653	26
ENSG00000111664	46
ENSG00000111666	21
ENSG00000111670	32
ENSG00000111696	2
ENSG00000111727	34
ENSG00000111728	28
ENSG00000111752	45
ENSG00000111799	10
ENSG00000111801	31
ENSG00000111832	34
ENSG00000111859	37
ENSG00000111907	9
ENSG00000112079	7
ENSG00000112139	51
ENSG00000112183	31
ENSG00000112208	2
ENSG00000112210	7
ENSG00000112218	40
ENSG00000112234	13
ENSG00000112276	8
ENSG00000112297	38
ENSG00000112299	51
ENSG00000112335	3
ENSG00000112414	59
ENSG00000112531	5
ENSG00000112541	58
ENSG00000112576	38
ENSG00000112715	27
ENSG00000112742	58
ENSG00000112759	2
ENSG00000112773	46
ENSG00000112902	53
ENSG00000112972	58
ENSG00000112977	9
ENSG00000113070	29
ENSG00000113083	38
ENSG00000113231	36
ENSG00000113319	29
ENSG00000113369	52
ENSG00000113389	38
ENSG00000113552	53
ENSG00000113578	42
ENSG00000113621	10
ENSG00000113657	9
ENSG00000113719	40
ENSG00000113721	48
ENSG00000113742	23
ENSG00000113790	2
ENSG00000114098	20
ENSG00000114107	38
ENSG00000114166	2
ENSG00000114251	38
ENSG00000114270	47
ENSG00000114315	50
ENSG00000114450	37
ENSG00000114480	60
ENSG00000114529	15
ENSG00000114541	23
ENSG00000114770	5
ENSG00000114796	26
ENSG00000114841	27
ENSG00000114850	8
ENSG00000115009	61
ENSG00000115041	38
ENSG00000115112	38
ENSG00000115221	60
ENSG00000115232	60
ENSG00000115295	5
ENSG00000115318	2
ENSG00000115325	3
ENSG00000115380	41
ENSG00000115461	47
ENSG00000115514	7
ENSG00000115594	8
ENSG00000115648	29
ENSG00000115694	10
ENSG00000115756	42
ENSG00000115758	54
ENSG00000115828	34
ENSG00000115902	58
ENSG00000115919	14
ENSG00000115935	2
ENSG00000116005	3
ENSG00000116032	38
ENSG00000116133	7
ENSG00000116212	34
ENSG00000116285	42
ENSG00000116299	36
ENSG00000116337	47
ENSG00000116396	31
ENSG00000116641	7
ENSG00000116701	52
ENSG00000116704	10
ENSG00000116717	32
ENSG00000116741	21
ENSG00000116761	53
ENSG00000116985	20
ENSG00000116991	50
ENSG00000117115	50
