ID	Hexagon_index	Cluster_base
201522_x_at	185	4
201527_at	23	2
201528_at	106	4
201529_s_at	114	1
201531_at	154	11
201532_at	75	1
201540_at	269	6
201543_s_at	184	4
201548_s_at	110	10
201549_x_at	195	10
201552_at	103	4
201553_s_at	184	4
201555_at	114	1
201556_s_at	390	12
201557_at	270	6
201559_s_at	192	10
201560_at	109	4
201573_s_at	194	10
201576_s_at	242	10
201577_at	162	5
201578_at	365	10
201586_s_at	72	4
201589_at	78	1
201590_x_at	362	10
201596_x_at	365	10
201598_s_at	20	3
201599_at	290	9
201601_x_at	193	10
201606_s_at	140	4
201609_x_at	106	4
201612_at	76	1
201613_s_at	81	1
201614_s_at	111	1
201617_x_at	241	10
201619_at	47	4
201620_at	99	2
201622_at	81	1
201623_s_at	305	11
201624_at	368	11
201633_s_at	106	4
201635_s_at	111	1
201636_at	199	11
201637_s_at	199	11
201641_at	366	10
201645_at	193	10
201646_at	98	2
201648_at	275	8
201650_at	365	10
201651_s_at	28	1
201652_at	107	4
201653_at	108	4
201654_s_at	260	7
201655_s_at	256	5
201656_at	237	10
201657_at	49	1
201659_s_at	240	10
201667_at	363	10
201668_x_at	272	8
201669_s_at	271	3
201670_s_at	272	8
201681_s_at	95	2
201682_at	28	1
201686_x_at	5	1
201688_s_at	362	10
201690_s_at	361	10
201695_s_at	300	10
201701_s_at	192	10
201705_at	46	4
201706_s_at	50	1
201725_at	29	1
201729_s_at	162	5
201731_s_at	388	7
201735_s_at	48	1
201739_at	230	2
201744_s_at	350	9
201745_at	169	3
201760_s_at	175	8
201761_at	367	11
201762_s_at	37	3
201764_at	168	3
201769_at	108	4
201772_at	299	10
201774_s_at	158	5
201778_s_at	139	4
201782_s_at	60	3
201784_s_at	78	1
201785_at	65	2
201787_at	203	11
201788_at	14	1
201790_s_at	114	1
201798_s_at	302	10
201800_s_at	45	4
201801_s_at	111	1
201802_at	373	11
201809_s_at	270	6
201810_s_at	141	4
201811_x_at	242	10
201812_s_at	106	4
201818_at	110	10
201825_s_at	62	3
201828_x_at	174	8
201831_s_at	236	10
201836_s_at	95	2
201839_s_at	365	10
201841_s_at	129	3
201842_s_at	318	7
201843_s_at	161	5
201844_s_at	233	4
201845_s_at	234	4
201846_s_at	145	4
201847_at	137	2
201848_s_at	366	10
201849_at	366	10
201850_at	243	10
201853_s_at	95	2
201854_s_at	189	4
