ID	Hexagon_index
203796_s_at	395
203797_at	233
203798_s_at	71
203799_at	135
203801_at	39
203803_at	360
203813_s_at	91
203814_s_at	299
203817_at	174
203819_s_at	151
203820_s_at	248
203825_at	61
203827_at	182
203829_at	26
203851_at	245
203852_s_at	297
203854_at	24
203855_at	338
203857_s_at	234
203859_s_at	172
203861_s_at	320
203862_s_at	257
203863_at	209
203864_s_at	390
203865_s_at	94
203867_s_at	116
203868_s_at	334
203869_at	240
203871_at	121
203872_at	385
203879_at	27
203881_s_at	250
203884_s_at	215
203886_s_at	231
203887_s_at	245
203888_at	30
203892_at	372
203893_at	31
203903_s_at	243
203905_at	75
203906_at	216
203907_s_at	88
203909_at	182
203910_at	247
203913_s_at	45
203914_x_at	357
203917_at	245
203921_at	275
203924_at	228
203926_x_at	36
203928_x_at	96
203929_s_at	279
203930_s_at	98
203934_at	246
203935_at	152
203939_at	173
203940_s_at	219
203945_at	13
203946_s_at	365
203951_at	317
203953_s_at	247
203954_x_at	32
203955_at	153
203961_at	367
203962_s_at	366
203963_at	24
203965_at	60
203967_at	192
203968_s_at	110
203971_at	298
203972_s_at	46
203973_s_at	246
203987_at	368
203988_s_at	299
203990_s_at	304
203991_s_at	304
203992_s_at	303
203998_s_at	68
203999_at	179
204004_at	368
204005_s_at	367
204011_at	202
204017_at	356
204018_x_at	335
204022_at	134
204023_at	78
204028_s_at	19
204029_at	172
204030_s_at	170
204036_at	279
204037_at	340
204038_s_at	395
204039_at	67
204040_at	219
204041_at	394
204042_at	317
204043_at	358
204044_at	241
204045_at	89
204047_s_at	358
204048_s_at	360
204049_s_at	360
204053_x_at	29
204062_s_at	131
204063_s_at	270
204069_at	263
204072_s_at	100
204073_s_at	206
204076_at	199
204079_at	300
204082_at	130
204092_s_at	5
204099_at	219
204114_at	366
204131_s_at	61
204141_at	347
204146_at	150
204151_x_at	281
204154_at	221
204163_at	129
204164_at	327
204165_at	206
204168_at	230
204179_at	213
204185_x_at	149
204186_s_at	247
204195_s_at	51
204201_s_at	246
204205_at	6
204207_s_at	29
204208_at	80
204214_s_at	395
204215_at	248
204216_s_at	52
204224_s_at	299
204236_at	223
204239_s_at	129
204246_s_at	129
204247_s_at	131
204248_at	40
204256_at	304
204260_at	65
204269_at	295
204271_s_at	348
204273_at	336
204274_at	146
204281_at	33
204284_at	368
204285_s_at	347
204286_s_at	352
204288_s_at	273
204290_s_at	186
204297_at	108
