ID	Hexagon_index	Cluster_base	data.AB_D_CPM_logFC	data.ATC_D_CPM_logFC	data.LY_D_CPM_logFC
ENSG00000010404	161	2	-0.464302667499492	-0.136111558473017	-0.184456456485296
ENSG00000011201	193	3	-0.571945868200462	-0.520930978206795	-0.400942421510276
ENSG00000011258	47	6	-0.238791584038374	-0.297125276369506	-0.294222280998413
ENSG00000011426	213	10	0.686234425179157	0.163310662968842	0.358700252407958
ENSG00000011465	226	7	1.68232929845489	1.63288160164297	1.46592388918713
ENSG00000011566	36	9	0.237705878740003	0.169042693425175	0.266796414643905
ENSG00000012822	150	3	-0.4305269869634	-0.466917746249814	-0.258400840474092
ENSG00000013293	237	1	-1.5736524190635	-1.15090466501007	-2.78414159546486
ENSG00000013297	237	1	-0.940972140146622	-1.05320845748798	-1.40745614219233
ENSG00000013375	101	8	0.158071601780973	0.266011158822691	0.130239247803968
ENSG00000013561	88	9	0.349609761752469	0.192586358887503	0.210853040470802
ENSG00000013563	38	9	0.372943222995962	0.151094152105262	0.408833117253864
ENSG00000013588	79	6	-0.446434401428085	-0.434580254284955	-0.215180834396713
ENSG00000014216	24	8	0.110613702029214	0.289979151056789	0.264109473754111
ENSG00000016864	35	9	0.227842383054889	0.136911711660072	0.154031548818113
ENSG00000017483	270	10	0.53975637027068	0.690682590560934	0.0837057937225842
ENSG00000018408	271	10	0.772220403581536	0.663775450699907	0.356713419307615
ENSG00000019186	238	1	-0.788896394583791	-1.32526736833643	-1.57307475568731
ENSG00000019582	31	5	-0.485099754093238	-0.322952718370769	-0.13039280486577
ENSG00000021762	21	8	0.165208821827869	0.152647684460215	0.452382768206741
ENSG00000023445	218	10	0.895244736195412	0.785581352330049	0.444112690140985
ENSG00000023697	262	10	0.328012372620283	0.264698705977382	0.00826819199042994
ENSG00000024422	65	8	0.238205719227329	0.387199122339182	0.496640100164941
ENSG00000025708	175	7	0.33621541492763	0.771661745049055	0.826173068743347
ENSG00000026103	35	9	0.179029786373071	0.200978489979891	0.14604128697752
ENSG00000026297	224	7	0.668710654800822	0.922305759760847	1.17393681468744
ENSG00000026508	157	5	-0.435129429705567	0.0283543397066452	-0.568552882275874
ENSG00000026652	260	2	-0.612642601271184	-0.245615439694002	-0.176000219113189
ENSG00000026950	160	2	-0.568903755539245	-0.226927787969495	-0.343597238274485
ENSG00000027697	93	9	0.369028117742801	0.263642647917317	0.601743292977372
ENSG00000028277	236	1	-0.999885786014448	-0.726638137392841	-1.17910195773199
ENSG00000031081	40	8	0.149588960349313	0.253048110844146	0.457539092969559
ENSG00000033170	155	5	-0.372146242171549	-0.319111160783187	-0.599317883597436
ENSG00000033178	252	6	0.0327379539371071	-0.351101686444693	-0.599861276278204
ENSG00000033327	84	5	-0.364547787633157	-0.0856404614375368	-0.344455759187589
ENSG00000033867	200	6	-0.181928644057716	-0.284135121192961	-0.567906160662369
ENSG00000035403	66	8	0.306380322504889	0.37136033182257	0.475634239305728
ENSG00000036672	221	9	0.753497290311828	0.463780942369797	0.991431537736185
ENSG00000038295	41	8	0.12532547670043	0.386903194171349	0.381298533214267
ENSG00000040199	19	8	0.193520325545129	0.189954355544044	0.279774940776609
ENSG00000040608	64	8	0.234160863281251	0.281855867597915	0.531956018134569
ENSG00000041982	179	7	0.434671716415718	1.42561388688902	0.706918906654275
ENSG00000042062	188	1	-1.2989170448106	-0.848003086665277	-0.59327087772814
ENSG00000042493	43	8	0.245862785445973	0.27236429123753	0.282678517306572
ENSG00000046889	141	4	-0.55600081195472	-0.281366632832752	-0.479855770650738
ENSG00000047457	229	7	0.686686237348446	0.826805654404056	0.360643993990345
ENSG00000047634	92	9	0.403898180565661	0.336288180435723	0.523952614635256
